,Title,Price,Price_Origin,Link,Image,Retailer,TimeStamp,Source
62,"Wireless Earbuds, Tribit 100H Playtime Bluetooth 5.0 IPX8 Waterproof Touch Control Ture Wireless Bluetooth Earbuds with Mic Earphone in-Ear Deep Bass Built-in Mic Bluetooth Headphones, Flybuds 3",57.99,89.99,https://www.amazon.ca/dp/B088LW4JKR/,https://m.media-amazon.com/images/I/71yeEs7IqOL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
63,AOSK Tesla Model Y Performance Spoiler Wings ABS Carbon Fiber Pattern Designed for 2020 2021,149.99,0,https://www.amazon.ca/dp/B08PRXQTXB/,https://m.media-amazon.com/images/I/61J74r1b7fL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
64,Men's W-217H-9AVCF Classic Digital Display Quartz Black Watch,26.33,0,https://www.amazon.ca/dp/B0721BB2ZW/,https://m.media-amazon.com/images/I/814xtc+jWVL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
65,Mens Authentics Classic Relaxed Fit Jean,29.99,0,https://www.amazon.ca/dp/B00XKXW4HG/,https://m.media-amazon.com/images/I/71-KKTMxOsL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
66,High Waisted Compression Leggings - Shapewear for Women,30.99,0,https://www.amazon.ca/dp/B07QKPCF12/,https://m.media-amazon.com/images/I/71vRr6zOdpL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
67,"LittleSun LED Garage Light 4+1 Deformable LED Garage Lighting, 48W, 5000LM, CRI 90+, 6500K,Ideal LED Lighting for Garage, Shop,Basement, Warehouse,White, Pack (1)",20.99,0,https://www.amazon.ca/dp/B082N9NTXW/,https://m.media-amazon.com/images/I/717sEGXAhOL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
68,Short Lightning Cable (2Pack 7Inch) USB Charger Cord for Apple iPhone 13/12/11/Xs Max/Xr/X/8/7/6/6s Plus/SE/5c/5s/5 iPad Air Pro/Mini Phone Charging Wire,11.99,0,https://www.amazon.ca/dp/B07KMQLFMP/,https://m.media-amazon.com/images/I/51ckYln2yUL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
69,iwoly V600 Vacuum Cleaner Corded Bagless Stick and Handheld Vacuum with 7m Long Power Cord,89.99,0,https://www.amazon.ca/dp/B07RGTV61N/,https://m.media-amazon.com/images/I/717peHM8aLL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
70,"Wireless Earbuds Qualcomm Chip Apt-X Decoding CVC8.0 Noise Reduction Tech Bluetooth Earbuds Last for 8H Playtime, Built-in Mic Stereo Call Wireless Earphones Deep Bass Sound Bluetooth V5.0 Headphones with IPX8 Waterproof Snug for Sport Headsets",39.99,0,https://www.amazon.ca/dp/B09BYYZQFS/,https://m.media-amazon.com/images/I/61ICJH3V4OL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
71,TC-JUNESUN Stick Cordless Vacuum Cleaner 4-in-1 Quiet Suction Fast Charging Lightweight for Home Hard Floor Carpet Car Convenient Handheld (Red),135.15,159.00,https://www.amazon.ca/dp/B08SM6PVVH/,https://m.media-amazon.com/images/I/51YYVTnpVhL._AC_UL320_.jpg,Amazon,2021-10-23T16:29:45,https://www.amazon.ca/s?k=lightning+deals
